DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Croatia,2020,53.564,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Croatia,2021,54.539,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Croatia,2022,60.303,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Croatia,2023,55.721,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Croatia,2024,59.929,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Hungary,2015,53.875,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Hungary,2016,55.823,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Hungary,2017,62.645,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Hungary,2018,58.123,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Hungary,2019,69.712,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Hungary,2020,56.618,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Hungary,2021,54.121,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Hungary,2022,64.206,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Hungary,2023,62.087,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Hungary,2024,48.943,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Ireland,2015,88.653,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Ireland,2016,68.951,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Ireland,2017,66.021,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Ireland,2018,67.576,,
